comparison,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std
AD vs CBS,alexnet,0.612,0.022,0.424,0.082,0.612,0.022,0.496,0.048,0.513,0.083
,resnet,0.629,0.034,0.6,0.137,0.629,0.034,0.571,0.063,0.568,0.056
,vgg16,0.621,0.017,0.385,0.021,0.621,0.017,0.476,0.021,0.427,0.071
,,,,,,,,,,,
AD vs PSP,alexnet,0.652,0.178,0.602,0.239,0.652,0.178,0.616,0.211,0.746,0.169
,resnet,0.637,0.08,0.652,0.083,0.637,0.08,0.627,0.077,0.72,0.152
,vgg16,0.545,0.008,0.297,0.009,0.545,0.008,0.385,0.01,0.528,0.088
,,,,,,,,,,,
PSP vs CBS,alexnet,0.577,0.011,0.333,0.013,0.577,0.011,0.422,0.014,0.474,0.106
,resnet,0.5,0.088,0.511,0.091,0.5,0.088,0.488,0.082,0.497,0.086
,vgg16,0.577,0.011,0.333,0.013,0.577,0.011,0.422,0.014,0.446,0.081
