params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.571,0.082,12
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.55,0.092,16
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.614,0.054,4
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.582,0.09,10
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.645,0.072,1
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.592,0.069,8
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.57,0.055,14
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.592,0.066,7
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.604,0.072,5
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.571,0.082,12
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.625,0.061,3
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.582,0.085,11
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.635,0.09,2
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.592,0.096,8
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.601,0.096,6
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.57,0.08,14
