params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.584,0.1,11
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.584,0.096,13
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.602,0.102,7
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.602,0.11,7
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.659,0.138,2
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.62,0.143,4
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.679,0.098,1
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.602,0.133,9
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.546,0.118,16
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.565,0.106,15
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.613,0.073,6
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.584,0.08,11
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.613,0.059,5
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.601,0.152,10
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.631,0.079,3
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.583,0.145,14
