params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.688,0.065,2
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.699,0.05,1
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.65,0.049,8
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.638,0.055,12
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.637,0.076,14
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.649,0.089,11
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.65,0.049,8
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.637,0.092,15
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.65,0.072,8
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.674,0.083,3
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.662,0.03,5
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.663,0.058,4
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.662,0.037,6
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.662,0.075,7
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.638,0.039,12
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.626,0.05,16
