outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,RandomForest,networks,0.6666666666666666,0.6985294117647058,0.625,0.6100795755968169,0.7222222222222223,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}"
1,GradientBoosting,networks,0.5238095238095238,0.48125,0.4861111111111111,0.4642857142857143,0.5462962962962963,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}"
1,KNN,networks,0.6190476190476191,0.6388888888888888,0.5694444444444444,0.5333333333333333,0.513888888888889,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
2,RandomForest,networks,0.7619047619047619,0.8529411764705883,0.7222222222222222,0.7214854111405835,0.7314814814814815,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}"
2,GradientBoosting,networks,0.7619047619047619,0.7833333333333333,0.7361111111111112,0.7407407407407407,0.763888888888889,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}"
2,KNN,networks,0.6666666666666666,0.8157894736842105,0.6111111111111112,0.5689149560117301,0.5740740740740741,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}"
3,RandomForest,networks,0.42857142857142855,0.4318181818181818,0.4305555555555556,0.42727272727272725,0.4537037037037037,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
3,GradientBoosting,networks,0.5714285714285714,0.5681818181818181,0.5694444444444444,0.5675057208237986,0.5648148148148149,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}"
3,KNN,networks,0.38095238095238093,0.3557692307692308,0.3611111111111111,0.35764705882352943,0.5555555555555556,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
4,RandomForest,networks,0.5714285714285714,0.5681818181818181,0.5694444444444444,0.5675057208237986,0.638888888888889,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}"
4,GradientBoosting,networks,0.7619047619047619,0.759090909090909,0.7638888888888888,0.7597254004576659,0.8240740740740741,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}"
4,KNN,networks,0.6190476190476191,0.6071428571428572,0.5972222222222222,0.5961538461538461,0.6296296296296297,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
5,RandomForest,networks,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.75,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
5,GradientBoosting,networks,0.65,0.6568627450980392,0.5833333333333333,0.561128526645768,0.7395833333333334,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
5,KNN,networks,0.8,0.875,0.75,0.7619047619047619,0.8020833333333333,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
