outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,RandomForest,networks,0.375,0.3125,0.3222222222222222,0.31688804554079697,0.3592592592592592,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}"
1,GradientBoosting,networks,0.5,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.43333333333333335,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}"
1,KNN,networks,0.5,0.4369747899159664,0.4444444444444444,0.4375,0.4111111111111111,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
2,RandomForest,networks,0.4782608695652174,0.5119047619047619,0.5125,0.4772727272727273,0.5666666666666667,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}"
2,GradientBoosting,networks,0.5217391304347826,0.48809523809523814,0.4875,0.486815415821501,0.65,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
2,KNN,networks,0.782608695652174,0.788888888888889,0.7166666666666667,0.731934731934732,0.7208333333333333,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}"
3,RandomForest,networks,0.6086956521739131,0.5735294117647058,0.5595238095238095,0.5548387096774194,0.7063492063492064,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}"
3,GradientBoosting,networks,0.5652173913043478,0.5055555555555555,0.503968253968254,0.48660714285714285,0.638888888888889,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
3,KNN,networks,0.5217391304347826,0.4875,0.48809523809523814,0.486815415821501,0.5198412698412699,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
4,RandomForest,networks,0.7391304347826086,0.85,0.6666666666666666,0.6617647058823529,0.6031746031746031,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}"
4,GradientBoosting,networks,0.6521739130434783,0.6583333333333333,0.5753968253968254,0.5490196078431372,0.626984126984127,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
4,KNN,networks,0.6521739130434783,0.6583333333333333,0.5753968253968254,0.5490196078431372,0.6547619047619047,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}"
5,RandomForest,networks,0.6086956521739131,0.5735294117647058,0.5595238095238095,0.5548387096774194,0.5873015873015872,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}"
5,GradientBoosting,networks,0.5652173913043478,0.5055555555555555,0.503968253968254,0.48660714285714285,0.43650793650793646,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}"
5,KNN,networks,0.6086956521739131,0.5595238095238095,0.5198412698412699,0.4623376623376624,0.5674603174603174,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
