params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.519,0.038,16
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.528,0.037,15
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.594,0.037,9
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.575,0.061,12
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.594,0.048,8
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.585,0.067,10
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.604,0.07,4
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.604,0.085,3
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.529,0.057,14
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.547,0.067,13
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.613,0.032,2
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.614,0.058,1
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.603,0.079,6
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.594,0.077,7
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.604,0.056,4
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.585,0.073,11
