rank_test_score,params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy
1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.579,0.579,0.556,0.667,0.556,0.587
34,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.579,0.579,0.5,0.556,0.556,0.554
3,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.632,0.579,0.556,0.611,0.556,0.587
15,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.632,0.526,0.611,0.556,0.5,0.565
23,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.632,0.579,0.556,0.5,0.556,0.564
15,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.632,0.526,0.611,0.556,0.5,0.565
49,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.632,0.526,0.5,0.5,0.5,0.532
31,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.579,0.579,0.5,0.611,0.5,0.554
44,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.579,0.526,0.5,0.556,0.5,0.532
39,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.579,0.526,0.556,0.556,0.5,0.543
53,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.526,0.526,0.5,0.556,0.5,0.522
26,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.579,0.526,0.556,0.611,0.5,0.554
48,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.526,0.579,0.5,0.444,0.611,0.532
15,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.579,0.579,0.556,0.611,0.5,0.565
25,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.579,0.526,0.611,0.444,0.611,0.554
44,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.579,0.526,0.5,0.556,0.5,0.532
22,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.579,0.579,0.611,0.444,0.611,0.565
44,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.579,0.526,0.5,0.556,0.5,0.532
26,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.579,0.526,0.667,0.5,0.5,0.554
5,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.632,0.526,0.611,0.611,0.5,0.576
13,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.579,0.526,0.667,0.5,0.556,0.565
26,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.579,0.526,0.611,0.556,0.5,0.554
42,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.526,0.526,0.611,0.444,0.556,0.533
11,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.579,0.526,0.611,0.611,0.5,0.565
26,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.579,0.526,0.611,0.556,0.5,0.554
15,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.632,0.526,0.556,0.611,0.5,0.565
15,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.579,0.579,0.611,0.556,0.5,0.565
5,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.632,0.526,0.611,0.611,0.5,0.576
39,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.526,0.579,0.611,0.5,0.5,0.543
15,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.632,0.526,0.611,0.556,0.5,0.565
54,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.526,0.526,0.5,0.444,0.556,0.511
15,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.632,0.526,0.556,0.611,0.5,0.565
23,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.579,0.632,0.556,0.5,0.556,0.564
11,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.579,0.526,0.611,0.611,0.5,0.565
34,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.579,0.579,0.556,0.5,0.556,0.554
5,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.579,0.579,0.611,0.611,0.5,0.576
13,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.579,0.526,0.667,0.5,0.556,0.565
26,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.579,0.526,0.611,0.556,0.5,0.554
4,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.579,0.526,0.667,0.556,0.556,0.577
42,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.526,0.526,0.611,0.5,0.5,0.533
10,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.526,0.526,0.667,0.556,0.556,0.566
31,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.579,0.579,0.611,0.5,0.5,0.554
44,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.579,0.526,0.556,0.5,0.5,0.532
1,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.579,0.579,0.611,0.611,0.556,0.587
39,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.526,0.579,0.611,0.5,0.5,0.543
5,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.579,0.579,0.611,0.611,0.5,0.576
31,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.579,0.579,0.611,0.5,0.5,0.554
5,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.579,0.579,0.611,0.611,0.5,0.576
50,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.474,0.526,0.556,0.5,0.556,0.522
37,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.526,0.526,0.611,0.556,0.5,0.544
50,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.474,0.526,0.556,0.5,0.556,0.522
36,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.474,0.526,0.611,0.611,0.5,0.544
50,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.474,0.526,0.556,0.5,0.556,0.522
37,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.474,0.579,0.611,0.556,0.5,0.544
