rank_test_score,params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy
58,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.632,0.526,0.5,0.667,0.5,0.565
55,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.579,0.579,0.556,0.556,0.556,0.565
37,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.579,0.579,0.611,0.556,0.556,0.576
26,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.632,0.579,0.611,0.611,0.556,0.598
29,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.684,0.579,0.611,0.556,0.556,0.597
37,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.632,0.526,0.611,0.611,0.5,0.576
14,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.684,0.632,0.556,0.556,0.611,0.608
14,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.684,0.632,0.556,0.611,0.556,0.608
10,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.632,0.632,0.611,0.611,0.556,0.608
61,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.526,0.526,0.611,0.556,0.556,0.555
51,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.526,0.526,0.611,0.611,0.556,0.566
47,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.474,0.526,0.611,0.611,0.611,0.567
33,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.579,0.526,0.611,0.611,0.556,0.577
61,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.526,0.526,0.611,0.556,0.556,0.555
61,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.526,0.526,0.611,0.556,0.556,0.555
5,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.579,0.579,0.611,0.667,0.611,0.609
1,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.684,0.579,0.611,0.667,0.556,0.619
22,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.579,0.579,0.611,0.667,0.556,0.598
45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.632,0.579,0.5,0.667,0.5,0.575
45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.632,0.579,0.556,0.556,0.556,0.575
37,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.579,0.579,0.611,0.556,0.556,0.576
9,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.632,0.579,0.611,0.611,0.611,0.609
29,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.684,0.579,0.611,0.556,0.556,0.597
37,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.632,0.526,0.611,0.611,0.5,0.576
14,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.684,0.632,0.556,0.556,0.611,0.608
14,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.684,0.632,0.556,0.611,0.556,0.608
