rank_test_score,params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy
3,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.619,0.857,0.619,0.667,0.619,0.676
1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.667,0.81,0.619,0.714,0.619,0.686
19,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.714,0.714,0.524,0.619,0.667,0.648
5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.714,0.714,0.619,0.667,0.667,0.676
12,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.762,0.762,0.524,0.619,0.619,0.657
3,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.762,0.667,0.619,0.619,0.714,0.676
50,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.619,0.619,0.333,0.524,0.667,0.552
12,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.762,0.667,0.476,0.714,0.667,0.657
49,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.619,0.619,0.381,0.524,0.667,0.562
6,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.81,0.619,0.524,0.714,0.667,0.667
41,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.667,0.619,0.381,0.619,0.667,0.59
12,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.81,0.619,0.524,0.667,0.667,0.657
53,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.667,0.619,0.381,0.476,0.571,0.543
12,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.81,0.619,0.476,0.714,0.667,0.657
43,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.667,0.619,0.381,0.571,0.619,0.571
12,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.81,0.619,0.476,0.714,0.667,0.657
43,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.667,0.619,0.381,0.571,0.619,0.571
22,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.81,0.619,0.476,0.667,0.667,0.648
19,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.762,0.714,0.476,0.667,0.619,0.648
8,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.714,0.667,0.619,0.667,0.667,0.667
24,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.714,0.714,0.476,0.667,0.619,0.638
10,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.714,0.619,0.571,0.667,0.714,0.657
24,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.667,0.714,0.524,0.667,0.619,0.638
35,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.619,0.619,0.571,0.619,0.667,0.619
42,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.667,0.619,0.381,0.571,0.667,0.581
24,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.762,0.619,0.476,0.667,0.667,0.638
35,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.81,0.667,0.333,0.619,0.667,0.619
22,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.762,0.619,0.524,0.667,0.667,0.648
35,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.714,0.667,0.381,0.619,0.714,0.619
6,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.714,0.667,0.571,0.667,0.714,0.667
43,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.667,0.619,0.381,0.571,0.619,0.571
12,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.762,0.619,0.571,0.667,0.667,0.657
43,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.667,0.619,0.381,0.571,0.619,0.571
18,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.762,0.667,0.524,0.667,0.667,0.657
43,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.667,0.619,0.381,0.571,0.619,0.571
24,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.667,0.714,0.524,0.667,0.619,0.638
19,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.762,0.762,0.429,0.667,0.619,0.648
1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.714,0.667,0.619,0.667,0.762,0.686
35,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.619,0.714,0.476,0.667,0.619,0.619
10,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.714,0.619,0.571,0.667,0.714,0.657
40,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.571,0.714,0.429,0.667,0.619,0.6
24,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.667,0.619,0.524,0.667,0.714,0.638
39,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.762,0.619,0.381,0.619,0.667,0.61
24,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.714,0.571,0.571,0.667,0.667,0.638
24,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.762,0.667,0.381,0.667,0.714,0.638
24,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.667,0.667,0.524,0.667,0.667,0.638
43,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.667,0.571,0.333,0.571,0.714,0.571
32,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.667,0.571,0.476,0.714,0.714,0.629
53,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.667,0.571,0.381,0.571,0.524,0.543
8,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.81,0.667,0.524,0.667,0.667,0.667
50,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.667,0.524,0.381,0.571,0.619,0.552
34,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.667,0.667,0.476,0.667,0.667,0.629
50,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.667,0.524,0.381,0.571,0.619,0.552
33,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.667,0.667,0.524,0.619,0.667,0.629
