params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.714,0.667,0.667,0.714,0.667,0.686,33
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.667,0.714,0.667,0.667,0.667,0.676,62
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.619,0.762,0.667,0.667,0.714,0.686,33
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.762,0.714,0.714,0.714,0.714,1
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.619,0.762,0.714,0.667,0.714,0.695,21
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.619,0.762,0.667,0.714,0.619,0.676,49
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.81,0.667,0.667,0.619,0.695,21
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.667,0.81,0.667,0.667,0.619,0.686,33
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.571,0.667,0.667,0.619,0.667,0.638,70
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.571,0.762,0.667,0.667,0.714,0.676,49
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.619,0.762,0.619,0.667,0.714,0.676,49
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.714,0.714,0.667,0.667,0.686,33
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.667,0.714,0.667,0.667,0.619,0.667,65
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.762,0.714,0.667,0.619,0.695,21
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.714,0.81,0.714,0.667,0.619,0.705,5
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.714,0.714,0.667,0.667,0.667,0.686,33
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.667,0.762,0.667,0.667,0.667,0.686,48
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.619,0.762,0.667,0.619,0.714,0.676,49
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.762,0.714,0.714,0.714,0.714,1
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.619,0.762,0.714,0.667,0.714,0.695,21
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.619,0.762,0.667,0.714,0.619,0.676,49
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.81,0.667,0.667,0.619,0.695,21
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.667,0.81,0.667,0.667,0.619,0.686,33
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.571,0.714,0.667,0.619,0.667,0.648,69
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.571,0.762,0.667,0.667,0.714,0.676,49
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.619,0.762,0.619,0.667,0.714,0.676,49
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.714,0.714,0.667,0.667,0.686,33
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.667,0.714,0.667,0.667,0.619,0.667,65
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.762,0.714,0.667,0.619,0.695,21
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.714,0.81,0.714,0.667,0.619,0.705,5
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.714,0.667,0.667,0.714,0.667,0.686,33
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.667,0.714,0.667,0.667,0.667,0.676,62
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.619,0.762,0.667,0.667,0.714,0.686,33
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.762,0.714,0.714,0.714,0.714,1
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.619,0.762,0.714,0.667,0.714,0.695,21
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.619,0.762,0.667,0.714,0.619,0.676,49
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.81,0.667,0.667,0.619,0.695,21
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.667,0.81,0.667,0.667,0.619,0.686,33
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.571,0.667,0.667,0.619,0.667,0.638,70
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.571,0.762,0.667,0.667,0.714,0.676,49
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.619,0.762,0.619,0.667,0.714,0.676,49
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.714,0.714,0.667,0.667,0.686,33
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.667,0.714,0.667,0.667,0.619,0.667,65
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.762,0.714,0.667,0.619,0.695,21
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.714,0.81,0.714,0.667,0.619,0.705,5
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.714,0.667,0.667,0.714,0.667,0.686,33
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.667,0.714,0.667,0.667,0.667,0.676,62
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.619,0.762,0.667,0.667,0.714,0.686,33
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.762,0.714,0.714,0.714,0.714,1
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.619,0.762,0.714,0.667,0.714,0.695,21
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.619,0.762,0.667,0.714,0.619,0.676,49
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.81,0.667,0.667,0.619,0.695,21
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.667,0.81,0.667,0.667,0.619,0.686,33
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.571,0.667,0.667,0.619,0.667,0.638,70
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.571,0.762,0.667,0.667,0.714,0.676,49
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.619,0.762,0.619,0.667,0.714,0.676,49
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.714,0.714,0.667,0.667,0.686,33
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.762,0.714,0.667,0.714,0.705,5
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.667,0.714,0.667,0.667,0.619,0.667,65
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.762,0.714,0.667,0.619,0.695,21
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.714,0.81,0.714,0.667,0.619,0.705,5
