params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.571,0.571,0.524,0.524,0.524,0.543,10
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.571,0.571,0.524,0.524,0.524,0.543,10
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.571,0.571,0.524,0.524,0.524,0.543,10
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.571,0.571,0.524,0.524,0.524,0.543,10
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.619,0.571,0.524,0.524,0.524,0.552,7
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.571,0.571,0.524,0.524,0.524,0.543,10
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.571,0.571,0.524,0.524,0.524,0.543,10
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.571,0.571,0.524,0.524,0.524,0.543,10
"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.667,0.81,0.667,0.619,0.714,0.695,1
"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.571,0.571,0.524,0.524,0.524,0.543,10
"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.571,0.571,0.524,0.524,0.524,0.543,10
"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.571,0.571,0.524,0.524,0.524,0.543,10
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.571,0.714,0.619,0.571,0.714,0.638,4
"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.619,0.571,0.524,0.524,0.524,0.552,7
"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.571,0.571,0.524,0.524,0.524,0.543,10
"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.619,0.571,0.524,0.524,0.524,0.552,7
"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.429,0.667,0.476,0.571,0.667,0.562,6
"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.714,0.667,0.714,0.667,0.619,0.676,2
"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.619,0.619,0.714,0.571,0.619,0.629,5
"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.714,0.667,0.714,0.667,0.619,0.676,2
