params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.577,0.071,4
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.529,0.068,16
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.552,0.083,13
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.565,0.075,9
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.566,0.045,8
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.543,0.081,15
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.554,0.099,12
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.554,0.117,11
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.613,0.057,1
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.589,0.079,2
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.551,0.136,14
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.563,0.135,10
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.578,0.125,3
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.576,0.136,6
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.576,0.11,6
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.577,0.108,4
