params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.529,0.471,0.765,0.625,0.625,0.603,21
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.588,0.471,0.824,0.562,0.688,0.626,8
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.647,0.529,0.824,0.562,0.625,0.638,5
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.588,0.882,0.562,0.625,0.661,1
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.647,0.471,0.824,0.438,0.625,0.601,25
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.647,0.588,0.824,0.562,0.625,0.649,2
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.588,0.471,0.765,0.438,0.625,0.577,42
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.647,0.529,0.824,0.5,0.625,0.625,11
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.588,0.529,0.765,0.375,0.625,0.576,43
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.529,0.824,0.562,0.625,0.638,5
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.588,0.471,0.824,0.438,0.625,0.589,33
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.588,0.588,0.882,0.562,0.625,0.649,2
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.647,0.529,0.706,0.562,0.625,0.614,14
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.647,0.588,0.824,0.5,0.625,0.637,7
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.529,0.471,0.706,0.5,0.625,0.566,50
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.471,0.824,0.562,0.625,0.626,9
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.529,0.471,0.706,0.5,0.625,0.566,50
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.647,0.471,0.824,0.562,0.625,0.626,9
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.647,0.471,0.765,0.5,0.562,0.589,33
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.706,0.588,0.765,0.5,0.688,0.649,2
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.588,0.588,0.765,0.5,0.562,0.601,25
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.588,0.765,0.5,0.625,0.625,11
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.588,0.647,0.765,0.5,0.562,0.612,16
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.588,0.588,0.706,0.5,0.562,0.589,33
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.647,0.588,0.765,0.438,0.625,0.612,16
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.647,0.471,0.824,0.562,0.562,0.613,15
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.647,0.588,0.765,0.438,0.562,0.6,29
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.706,0.471,0.765,0.562,0.5,0.601,25
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.588,0.588,0.824,0.438,0.562,0.6,29
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.647,0.471,0.706,0.562,0.5,0.577,41
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.529,0.588,0.706,0.5,0.625,0.59,32
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.647,0.529,0.706,0.5,0.625,0.601,24
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.529,0.588,0.706,0.562,0.625,0.602,22
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.706,0.588,0.765,0.5,0.562,0.624,13
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.529,0.588,0.706,0.562,0.625,0.602,22
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.647,0.588,0.647,0.5,0.5,0.576,43
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.588,0.529,0.765,0.5,0.438,0.564,52
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.706,0.529,0.765,0.5,0.562,0.612,16
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.588,0.588,0.765,0.5,0.438,0.576,47
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.706,0.529,0.765,0.5,0.562,0.612,16
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.647,0.588,0.765,0.438,0.438,0.575,49
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.647,0.529,0.706,0.5,0.5,0.576,43
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.647,0.588,0.824,0.438,0.5,0.599,31
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.706,0.471,0.765,0.5,0.562,0.601,25
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.647,0.588,0.882,0.438,0.5,0.611,20
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.588,0.471,0.765,0.438,0.5,0.552,53
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.588,0.588,0.824,0.438,0.5,0.588,36
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.588,0.471,0.765,0.438,0.5,0.552,53
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.529,0.471,0.706,0.562,0.625,0.579,38
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.588,0.588,0.706,0.438,0.562,0.576,43
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.529,0.471,0.706,0.562,0.625,0.579,38
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.588,0.765,0.438,0.5,0.588,36
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.529,0.471,0.706,0.562,0.625,0.579,38
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.647,0.588,0.706,0.438,0.5,0.576,47
