params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.647,0.529,0.647,0.625,0.562,0.602,5
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.706,0.588,0.706,0.688,0.562,0.65,1
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.588,0.529,0.647,0.5,0.625,0.578,7
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.647,0.529,0.706,0.562,0.625,0.614,3
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.588,0.412,0.588,0.562,0.625,0.555,12
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.588,0.529,0.647,0.562,0.625,0.59,6
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.647,0.412,0.588,0.5,0.562,0.542,14
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.647,0.529,0.588,0.562,0.562,0.578,7
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.765,0.529,0.706,0.562,0.5,0.612,4
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.824,0.588,0.706,0.625,0.5,0.649,2
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.471,0.471,0.647,0.438,0.625,0.53,15
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.588,0.471,0.706,0.5,0.625,0.578,7
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.529,0.471,0.588,0.562,0.562,0.543,13
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.529,0.471,0.529,0.5,0.562,0.518,16
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.647,0.471,0.647,0.5,0.562,0.565,11
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.647,0.588,0.588,0.5,0.562,0.577,10
