params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.706,0.588,0.824,0.5,0.625,0.649,21
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.706,0.529,0.765,0.562,0.625,0.638,45
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.706,0.588,0.824,0.5,0.625,0.649,21
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.706,0.529,0.824,0.562,0.625,0.649,17
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.529,0.824,0.5,0.625,0.637,57
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.588,0.824,0.562,0.625,0.661,1
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.706,0.471,0.824,0.5,0.625,0.625,61
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.706,0.353,0.824,0.562,0.562,0.601,69
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.706,0.412,0.824,0.562,0.562,0.613,65
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.647,0.529,0.765,0.562,0.688,0.638,29
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.647,0.529,0.765,0.562,0.688,0.638,29
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.647,0.588,0.706,0.562,0.688,0.638,29
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.706,0.529,0.765,0.5,0.688,0.638,45
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.529,0.765,0.562,0.688,0.65,5
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.529,0.765,0.562,0.688,0.65,5
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.706,0.471,0.765,0.625,0.625,0.638,29
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.706,0.471,0.824,0.625,0.625,0.65,5
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.706,0.529,0.765,0.562,0.625,0.638,45
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.706,0.588,0.824,0.5,0.625,0.649,21
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.706,0.529,0.765,0.562,0.625,0.638,45
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.706,0.588,0.824,0.5,0.625,0.649,21
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.706,0.529,0.824,0.562,0.625,0.649,17
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.529,0.824,0.5,0.625,0.637,57
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.588,0.824,0.562,0.625,0.661,1
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.706,0.471,0.824,0.5,0.625,0.625,61
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.706,0.353,0.824,0.562,0.562,0.601,69
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.706,0.412,0.824,0.562,0.562,0.613,65
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.647,0.529,0.765,0.562,0.688,0.638,29
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.647,0.529,0.765,0.562,0.688,0.638,29
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.647,0.588,0.706,0.562,0.688,0.638,29
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.706,0.529,0.765,0.5,0.688,0.638,45
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.529,0.765,0.562,0.688,0.65,5
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.529,0.765,0.562,0.688,0.65,5
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.706,0.471,0.765,0.625,0.625,0.638,29
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.706,0.471,0.824,0.625,0.625,0.65,5
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.706,0.529,0.765,0.562,0.625,0.638,45
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.706,0.588,0.824,0.5,0.625,0.649,21
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.706,0.529,0.765,0.562,0.625,0.638,45
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.706,0.588,0.824,0.5,0.625,0.649,21
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.706,0.529,0.824,0.562,0.625,0.649,17
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.529,0.824,0.5,0.625,0.637,57
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.588,0.824,0.562,0.625,0.661,1
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.706,0.471,0.824,0.5,0.625,0.625,61
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.706,0.353,0.824,0.562,0.562,0.601,69
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.706,0.412,0.824,0.562,0.562,0.613,65
