rank_test_score,params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy
2,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.706,0.353,0.706,0.562,0.562,0.578
2,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578
20,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.647,0.353,0.765,0.438,0.625,0.565
2,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578
2,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578
1,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.647,0.471,0.706,0.625,0.562,0.602
18,"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.529,0.588,0.588,0.562,0.562,0.566
2,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578
18,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.529,0.588,0.588,0.562,0.562,0.566
