model,seed,best_params,test_accuracy,test_precision,test_recall,test_f1,test_auc_roc
RandomForest,42,"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5}",0.667,0.667,0.639,0.637,0.676
GradientBoosting,42,"{'n_estimators': 200, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0.762,0.783,0.736,0.741,0.694
KNN,42,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean'}",0.619,0.613,0.583,0.571,0.546
RandomForest,123,"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5}",0.714,0.714,0.694,0.697,0.657
GradientBoosting,123,"{'n_estimators': 200, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0.762,0.783,0.736,0.741,0.667
KNN,123,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean'}",0.619,0.613,0.583,0.571,0.546
RandomForest,2023,"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5}",0.714,0.714,0.694,0.697,0.648
GradientBoosting,2023,"{'n_estimators': 200, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0.762,0.783,0.736,0.741,0.657
KNN,2023,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean'}",0.619,0.613,0.583,0.571,0.546
RandomForest,31415,"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5}",0.714,0.714,0.694,0.697,0.676
GradientBoosting,31415,"{'n_estimators': 200, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0.762,0.783,0.736,0.741,0.694
KNN,31415,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean'}",0.619,0.613,0.583,0.571,0.546
RandomForest,98765,"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5}",0.714,0.714,0.694,0.697,0.685
GradientBoosting,98765,"{'n_estimators': 200, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0.714,0.744,0.681,0.679,0.676
KNN,98765,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean'}",0.619,0.613,0.583,0.571,0.546
