groups,model,n_perms,true_score,p_value,perm_scores_mean,perm_scores_std
ADvsCBS,GradientBoosting,1000.0,0.604,0.285,0.586,0.039
ADvsCBS,KNN,1000.0,0.682,0.005,0.564,0.046
ADvsCBS,RandomForest,1000.0,0.571,0.374,0.56,0.05
,,,,,,
ADvsPSP,GradientBoosting,1000.0,0.705,0.001,0.509,0.052
ADvsPSP,KNN,1000.0,0.629,0.008,0.51,0.05
ADvsPSP,RandomForest,1000.0,0.682,0.001,0.511,0.054
,,,,,,
PSPvsCBS,GradientBoosting,1000.0,0.664,0.007,0.518,0.058
PSPvsCBS,KNN,1000.0,0.645,0.014,0.517,0.06
PSPvsCBS,RandomForest,1000.0,0.664,0.01,0.521,0.059
