comparison,model,accuracy,accuracy,precision,precision,recall,recall,f1,f1,auc_roc,auc_roc
,,mean,std,mean,std,mean,std,mean,std,mean,std
AD vs CBS,GB,0.561,0.058,0.525,0.076,0.507,0.041,0.495,0.031,0.557,0.112
,KNN,0.578,0.047,0.492,0.125,0.519,0.054,0.496,0.087,0.595,0.083
,RF,0.562,0.139,0.564,0.192,0.524,0.126,0.513,0.128,0.565,0.127
AD vs PSP,GB,0.652,0.11,0.656,0.116,0.645,0.111,0.642,0.112,0.7,0.182
,KNN,0.614,0.053,0.618,0.052,0.614,0.05,0.609,0.051,0.632,0.068
,RF,0.675,0.129,0.679,0.131,0.67,0.128,0.668,0.128,0.699,0.154
PSP vs CBS,GB,0.654,0.108,0.65,0.127,0.628,0.118,0.619,0.127,0.688,0.125
,KNN,0.617,0.151,0.659,0.204,0.578,0.14,0.564,0.145,0.615,0.113
,RF,0.626,0.13,0.648,0.158,0.603,0.111,0.599,0.113,0.659,0.123
