Comparison,Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
--- UMAP-based ---,,,,,,
AD vs PSP,GB,0.598 ± 0.108,0.612 ± 0.119,0.597 ± 0.107,0.588 ± 0.105,0.541 ± 0.176
,KNN,0.652 ± 0.066,0.654 ± 0.066,0.651 ± 0.064,0.648 ± 0.065,0.685 ± 0.037
,RF,0.591 ± 0.139,0.606 ± 0.148,0.586 ± 0.132,0.579 ± 0.132,0.629 ± 0.146
AD vs CBS,GB,0.576 ± 0.164,0.603 ± 0.183,0.556 ± 0.128,0.531 ± 0.143,0.543 ± 0.142
,KNN,0.577 ± 0.062,0.562 ± 0.085,0.548 ± 0.066,0.534 ± 0.056,0.553 ± 0.080
,RF,0.516 ± 0.090,0.520 ± 0.095,0.514 ± 0.068,0.478 ± 0.072,0.553 ± 0.088
PSP vs CBS,GB,0.540 ± 0.137,0.562 ± 0.194,0.526 ± 0.131,0.502 ± 0.135,0.554 ± 0.160
,KNN,0.625 ± 0.036,0.622 ± 0.051,0.593 ± 0.026,0.587 ± 0.023,0.592 ± 0.092
,RF,0.569 ± 0.139,0.558 ± 0.148,0.560 ± 0.145,0.556 ± 0.147,0.605 ± 0.141
--- Atlas-based ---,,,,,,
AD vs PSP,GB,0.652 ± 0.110,0.656 ± 0.116,0.645 ± 0.111,0.642 ± 0.112,0.700 ± 0.182
,KNN,0.607 ± 0.093,0.607 ± 0.097,0.604 ± 0.092,0.602 ± 0.093,0.673 ± 0.115
,RF,0.675 ± 0.129,0.679 ± 0.131,0.670 ± 0.128,0.668 ± 0.128,0.699 ± 0.154
AD vs CBS,GB,0.561 ± 0.058,0.525 ± 0.076,0.507 ± 0.041,0.495 ± 0.031,0.557 ± 0.112
,KNN,0.613 ± 0.113,0.586 ± 0.141,0.549 ± 0.105,0.534 ± 0.118,0.575 ± 0.120
,RF,0.562 ± 0.139,0.564 ± 0.192,0.524 ± 0.126,0.513 ± 0.128,0.565 ± 0.127
PSP vs CBS,GB,0.654 ± 0.108,0.650 ± 0.127,0.628 ± 0.118,0.619 ± 0.127,0.688 ± 0.125
,KNN,0.578 ± 0.104,0.570 ± 0.123,0.546 ± 0.093,0.539 ± 0.093,0.584 ± 0.104
,RF,0.626 ± 0.130,0.648 ± 0.158,0.603 ± 0.111,0.599 ± 0.113,0.659 ± 0.123
