dataset,comparison,model,accuracy,precision,recall,f1,auc_roc
Voxel,AD–CBS,GB,0.647 ± 0.033,0.616 ± 0.046,0.605 ± 0.058,0.600 ± 0.062,0.626 ± 0.109
,,KNN,0.638 ± 0.057,0.623 ± 0.076,0.606 ± 0.066,0.600 ± 0.058,0.701 ± 0.076
,,RF,0.655 ± 0.100,0.633 ± 0.102,0.631 ± 0.111,0.624 ± 0.113,0.613 ± 0.084
,AD–PSP,GB,0.569 ± 0.092,0.568 ± 0.088,0.570 ± 0.078,0.560 ± 0.099,0.616 ± 0.136
,,KNN,0.675 ± 0.073,0.680 ± 0.071,0.676 ± 0.066,0.672 ± 0.071,0.697 ± 0.094
,,RF,0.676 ± 0.103,0.691 ± 0.124,0.669 ± 0.096,0.668 ± 0.097,0.679 ± 0.114
,PSP–CBS,GB,0.568 ± 0.128,0.554 ± 0.137,0.551 ± 0.131,0.549 ± 0.132,0.566 ± 0.091
,,KNN,0.626 ± 0.095,0.617 ± 0.102,0.603 ± 0.090,0.603 ± 0.092,0.584 ± 0.093
,,RF,0.578 ± 0.080,0.580 ± 0.080,0.579 ± 0.079,0.573 ± 0.077,0.591 ± 0.097
Network,AD–CBS,GB,0.561 ± 0.058,0.525 ± 0.076,0.507 ± 0.041,0.495 ± 0.031,0.557 ± 0.112
,,KNN,0.578 ± 0.047,0.492 ± 0.125,0.519 ± 0.054,0.496 ± 0.087,0.595 ± 0.083
,,RF,0.562 ± 0.139,0.564 ± 0.192,0.524 ± 0.126,0.513 ± 0.128,0.565 ± 0.127
,AD–PSP,GB,0.652 ± 0.110,0.656 ± 0.116,0.645 ± 0.111,0.642 ± 0.112,0.700 ± 0.182
,,KNN,0.614 ± 0.053,0.618 ± 0.052,0.614 ± 0.050,0.609 ± 0.051,0.632 ± 0.068
,,RF,0.675 ± 0.129,0.679 ± 0.131,0.670 ± 0.128,0.668 ± 0.128,0.699 ± 0.154
,PSP–CBS,GB,0.654 ± 0.108,0.650 ± 0.127,0.628 ± 0.118,0.619 ± 0.127,0.688 ± 0.125
,,KNN,0.617 ± 0.151,0.659 ± 0.204,0.578 ± 0.140,0.564 ± 0.145,0.615 ± 0.113
,,RF,0.626 ± 0.130,0.648 ± 0.158,0.603 ± 0.111,0.599 ± 0.113,0.659 ± 0.123
