Dataset,Comparison,Model,Number of Permutations,True Score,P-Value,Permutation Score (Mean ± Std)
Voxel,AD–CBS,GB,1000,0.595,0.348,0.577 ± 0.039
,,KNN,1000,0.577,0.505,0.575 ± 0.040
,,RF,1000,0.603,0.252,0.574 ± 0.041
,AD–PSP,GB,1000,0.698,0.001,0.515 ± 0.051
,,KNN,1000,0.698,0.001,0.515 ± 0.051
,,RF,1000,0.691,0.001,0.516 ± 0.050
,PSP–CBS,GB,1000,0.578,0.104,0.511 ± 0.053
,,KNN,1000,0.559,0.175,0.510 ± 0.052
,,RF,1000,0.568,0.130,0.510 ± 0.052
Network,AD–CBS,GB,1000,0.604,0.285,0.586 ± 0.039
,,KNN,1000,0.587,0.376,0.572 ± 0.045
,,RF,1000,0.571,0.374,0.560 ± 0.050
,AD–PSP,GB,1000,0.705,0.001,0.509 ± 0.052
,,KNN,1000,0.683,0.001,0.510 ± 0.051
,,RF,1000,0.682,0.001,0.511 ± 0.054
,PSP–CBS,GB,1000,0.664,0.007,0.518 ± 0.058
,,KNN,1000,0.617,0.035,0.520 ± 0.057
,,RF,1000,0.664,0.010,0.521 ± 0.059
