params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.635,0.09,4
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.635,0.067,3
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.613,0.076,8
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.625,0.106,5
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.56,0.053,13
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.647,0.073,1
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.56,0.032,14
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.582,0.084,12
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.612,0.073,10
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.613,0.085,9
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.614,0.087,7
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.646,0.115,2
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.56,0.032,14
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.614,0.065,6
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.56,0.032,14
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.592,0.081,11
