outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,RandomForest,voxel,0.625,0.575,0.5444444444444445,0.5252747252747253,0.6185185185185185,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
1,GradientBoosting,voxel,0.625,0.575,0.5444444444444445,0.5252747252747253,0.48148148148148145,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}"
1,KNN,voxel,0.625,0.59375,0.5888888888888888,0.5901328273244781,0.6888888888888889,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}"
2,RandomForest,voxel,0.782608695652174,0.7619047619047619,0.775,0.7667342799188641,0.6916666666666667,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
2,GradientBoosting,voxel,0.6521739130434783,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}"
2,KNN,voxel,0.6956521739130435,0.6893939393939394,0.7083333333333333,0.6861598440545809,0.7666666666666667,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
3,RandomForest,voxel,0.5652173913043478,0.5436507936507937,0.5436507936507937,0.5436507936507937,0.5396825396825397,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}"
3,GradientBoosting,voxel,0.6086956521739131,0.5735294117647058,0.5595238095238095,0.5548387096774194,0.5992063492063492,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
3,KNN,voxel,0.5652173913043478,0.5436507936507937,0.5436507936507937,0.5436507936507937,0.5753968253968254,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
4,RandomForest,voxel,0.7391304347826086,0.7261904761904762,0.7261904761904762,0.7261904761904762,0.6984126984126984,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}"
4,GradientBoosting,voxel,0.6956521739130435,0.6846153846153846,0.6904761904761905,0.6861598440545809,0.7857142857142857,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}"
4,KNN,voxel,0.6086956521739131,0.5735294117647058,0.5595238095238095,0.5548387096774194,0.7261904761904762,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}"
5,RandomForest,voxel,0.5652173913043478,0.5606060606060606,0.5634920634920635,0.5576923076923077,0.5158730158730159,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
5,GradientBoosting,voxel,0.6521739130434783,0.6294642857142857,0.6150793650793651,0.6166666666666667,0.6468253968253969,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}"
5,KNN,voxel,0.6956521739130435,0.7171052631578947,0.6309523809523809,0.6247086247086246,0.746031746031746,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}"
