outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,RandomForest,voxel,0.6666666666666666,0.6648351648351649,0.6666666666666666,0.6648275862068966,0.7444444444444445,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}"
1,GradientBoosting,voxel,0.7407407407407407,0.75,0.75,0.7407407407407407,0.6722222222222223,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}"
1,KNN,voxel,0.5925925925925926,0.6,0.6,0.5925925925925926,0.6833333333333333,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}"
2,RandomForest,voxel,0.5185185185185185,0.525,0.525,0.5185185185185185,0.5333333333333334,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}"
2,GradientBoosting,voxel,0.48148148148148145,0.48351648351648346,0.48333333333333334,0.4807692307692308,0.41388888888888886,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}"
2,KNN,voxel,0.6666666666666666,0.675,0.675,0.6666666666666666,0.7277777777777777,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}"
3,RandomForest,voxel,0.6538461538461539,0.7095238095238096,0.6309523809523809,0.6067226890756303,0.6398809523809523,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}"
3,GradientBoosting,voxel,0.6538461538461539,0.7095238095238096,0.6309523809523809,0.6067226890756303,0.49404761904761907,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
3,KNN,voxel,0.6923076923076923,0.69375,0.6845238095238095,0.6848484848484848,0.7053571428571428,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}"
4,RandomForest,voxel,0.38461538461538464,0.3869047619047619,0.3869047619047619,0.38461538461538464,0.4375,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}"
4,GradientBoosting,voxel,0.5,0.5060606060606061,0.5059523809523809,0.49925925925925924,0.35416666666666663,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}"
4,KNN,voxel,0.7307692307692307,0.7303030303030302,0.7261904761904762,0.7271364317841079,0.6815476190476191,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}"
5,RandomForest,voxel,0.7307692307692307,0.7418300653594772,0.7202380952380952,0.7204301075268817,0.7886904761904762,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
5,GradientBoosting,voxel,0.6153846153846154,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.7708333333333334,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}"
5,KNN,voxel,0.5769230769230769,0.5727272727272728,0.5714285714285714,0.5712143928035982,0.6279761904761905,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}"
