params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.482,0.064,8
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.47,0.088,13
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.446,0.043,15
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.505,0.074,4
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.485,0.138,7
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.518,0.04,3
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.411,0.055,16
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.494,0.057,5
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.481,0.097,9
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.481,0.104,9
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.457,0.118,14
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.493,0.111,6
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.473,0.144,11
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.53,0.067,2
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.471,0.057,12
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.542,0.061,1
