outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,RandomForest,voxel,0.5238095238095238,0.5272727272727272,0.5277777777777778,0.5227272727272727,0.5092592592592593,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
1,GradientBoosting,voxel,0.5714285714285714,0.5576923076923077,0.5555555555555556,0.5552941176470588,0.5833333333333334,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}"
1,KNN,voxel,0.5238095238095238,0.5,0.5,0.4951923076923077,0.4444444444444445,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
2,RandomForest,voxel,0.6190476190476191,0.6442307692307692,0.6388888888888888,0.6181818181818182,0.6944444444444444,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
2,GradientBoosting,voxel,0.38095238095238093,0.3557692307692308,0.3611111111111111,0.35764705882352943,0.42592592592592593,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}"
2,KNN,voxel,0.7142857142857143,0.7142857142857143,0.6944444444444444,0.6971153846153846,0.6851851851851852,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}"
3,RandomForest,voxel,0.5238095238095238,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.5231481481481481,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}"
3,GradientBoosting,voxel,0.7142857142857143,0.7142857142857143,0.6944444444444444,0.6971153846153846,0.6296296296296298,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
3,KNN,voxel,0.6666666666666666,0.6666666666666666,0.6388888888888888,0.6370370370370371,0.625,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
4,RandomForest,voxel,0.5238095238095238,0.5272727272727272,0.5277777777777778,0.5227272727272727,0.5277777777777778,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
4,GradientBoosting,voxel,0.5238095238095238,0.5,0.5,0.4951923076923077,0.537037037037037,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}"
4,KNN,voxel,0.5238095238095238,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.5416666666666667,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
5,RandomForest,voxel,0.7,0.6875,0.6875,0.6875,0.6979166666666666,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
5,GradientBoosting,voxel,0.65,0.6414141414141414,0.6458333333333333,0.6419437340153453,0.65625,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}"
5,KNN,voxel,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.625,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}"
