params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.56,0.057,4
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.57,0.035,3
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.537,0.069,11
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.526,0.044,13
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.539,0.045,7
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.537,0.027,8
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.592,0.046,2
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.602,0.07,1
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.516,0.068,15
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.537,0.049,11
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.537,0.074,8
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.537,0.027,8
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.517,0.06,14
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.505,0.052,16
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.539,0.078,6
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.559,0.039,5
