outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,RandomForest,voxel,0.6666666666666666,0.6421052631578947,0.6,0.5966386554621849,0.6851851851851851,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
1,GradientBoosting,voxel,0.75,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.6851851851851851,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}"
1,KNN,voxel,0.6666666666666666,0.6666666666666666,0.5777777777777777,0.5555555555555556,0.45925925925925926,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}"
2,RandomForest,voxel,0.4782608695652174,0.5944444444444444,0.5708333333333333,0.46923076923076923,0.5958333333333333,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
2,GradientBoosting,voxel,0.4782608695652174,0.5119047619047619,0.5125,0.4772727272727273,0.5791666666666667,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
2,KNN,voxel,0.6086956521739131,0.6307692307692307,0.6416666666666666,0.6057142857142856,0.6583333333333333,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}"
3,RandomForest,voxel,0.43478260869565216,0.4563492063492064,0.4563492063492064,0.43478260869565216,0.4603174603174603,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}"
3,GradientBoosting,voxel,0.34782608695652173,0.3705357142857143,0.38492063492063494,0.34285714285714286,0.4246031746031746,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}"
3,KNN,voxel,0.5217391304347826,0.5076923076923077,0.5079365079365079,0.50682261208577,0.5793650793650794,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
4,RandomForest,voxel,0.4782608695652174,0.49230769230769234,0.4920634920634921,0.4772727272727273,0.5158730158730158,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
4,GradientBoosting,voxel,0.6956521739130435,0.8333333333333333,0.6111111111111112,0.5818181818181818,0.6587301587301587,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}"
4,KNN,voxel,0.5652173913043478,0.5436507936507937,0.5436507936507937,0.5436507936507937,0.5793650793650793,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}"
5,RandomForest,voxel,0.5217391304347826,0.4144736842105263,0.4484126984126984,0.41025641025641024,0.5079365079365079,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}"
5,GradientBoosting,voxel,0.6086956521739131,0.5657894736842105,0.5396825396825397,0.5174825174825175,0.3650793650793651,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
5,KNN,voxel,0.5217391304347826,0.4607843137254902,0.46825396825396826,0.4559139784946237,0.488095238095238,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}"
