params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.621,0.078,15
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.622,0.071,14
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.65,0.068,9
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.641,0.068,10
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.677,0.1,2
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.659,0.067,5
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.697,0.086,1
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.669,0.064,3
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.631,0.06,13
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.632,0.058,12
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.659,0.073,5
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.65,0.06,8
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.658,0.127,7
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.612,0.06,16
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.668,0.115,4
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.64,0.069,11
