params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.632,0.579,0.5,0.389,0.611,0.542,17
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.526,0.579,0.5,0.389,0.667,0.532,30
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.632,0.579,0.556,0.389,0.611,0.553,11
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.474,0.579,0.556,0.389,0.556,0.511,49
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.632,0.579,0.5,0.389,0.611,0.542,17
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.474,0.579,0.611,0.444,0.611,0.544,14
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.632,0.474,0.556,0.389,0.611,0.532,28
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.579,0.579,0.5,0.389,0.556,0.52,41
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.632,0.684,0.5,0.389,0.611,0.563,6
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.632,0.579,0.5,0.444,0.556,0.542,20
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.579,0.684,0.5,0.389,0.667,0.564,5
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.632,0.579,0.5,0.444,0.556,0.542,20
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.632,0.579,0.444,0.389,0.556,0.52,47
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.526,0.579,0.5,0.389,0.556,0.51,51
