params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.579,0.579,0.5,0.5,0.611,0.554,11
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.632,0.579,0.5,0.444,0.556,0.542,35
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.579,0.579,0.5,0.444,0.556,0.532,53
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.526,0.632,0.556,0.444,0.611,0.554,11
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.579,0.632,0.5,0.444,0.556,0.542,35
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.632,0.632,0.5,0.444,0.556,0.553,25
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.579,0.632,0.556,0.5,0.611,0.575,1
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.526,0.632,0.5,0.444,0.556,0.532,53
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.579,0.632,0.5,0.389,0.556,0.531,67
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.579,0.579,0.5,0.5,0.611,0.554,11
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.632,0.579,0.5,0.444,0.556,0.542,35
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.579,0.579,0.5,0.444,0.556,0.532,53
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.526,0.632,0.556,0.444,0.611,0.554,11
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.579,0.632,0.5,0.444,0.556,0.542,35
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.632,0.632,0.5,0.444,0.556,0.553,25
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.579,0.632,0.556,0.5,0.611,0.575,1
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.526,0.632,0.5,0.444,0.556,0.532,53
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.579,0.632,0.5,0.389,0.556,0.531,67
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.579,0.579,0.556,0.5,0.611,0.565,9
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.632,0.579,0.5,0.444,0.556,0.542,35
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.632,0.579,0.5,0.444,0.556,0.542,35
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.526,0.632,0.556,0.444,0.611,0.554,11
