model,seed,best_params,test_accuracy,test_precision,test_recall,test_f1,test_auc_roc
SVM,42,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.625,0.312,0.5,0.385,0.563
RandomForest,42,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.667,0.642,0.6,0.597,0.452
GradientBoosting,42,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.542,0.472,0.478,0.467,0.344
KNN,42,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",0.708,0.694,0.656,0.661,0.522
SVM,123,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.625,0.312,0.5,0.385,0.563
RandomForest,123,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.625,0.583,0.567,0.564,0.53
GradientBoosting,123,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.542,0.472,0.478,0.467,0.352
KNN,123,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",0.708,0.694,0.656,0.661,0.522
SVM,2023,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.625,0.312,0.5,0.385,0.563
RandomForest,2023,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.708,0.694,0.656,0.661,0.5
GradientBoosting,2023,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.542,0.472,0.478,0.467,0.344
KNN,2023,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",0.708,0.694,0.656,0.661,0.522
SVM,31415,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.625,0.312,0.5,0.385,0.563
RandomForest,31415,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.625,0.583,0.567,0.564,0.493
GradientBoosting,31415,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.5,0.437,0.444,0.438,0.352
KNN,31415,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",0.708,0.694,0.656,0.661,0.522
SVM,98765,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.625,0.312,0.5,0.385,0.563
RandomForest,98765,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.667,0.642,0.6,0.597,0.504
GradientBoosting,98765,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.5,0.437,0.444,0.438,0.315
KNN,98765,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",0.708,0.694,0.656,0.661,0.522
