params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.619,0.524,0.667,0.619,0.619,0.61,51
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.571,0.571,0.619,0.571,0.619,0.59,65
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.619,0.619,0.667,0.524,0.619,0.61,51
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.619,0.619,0.667,0.571,0.667,0.629,33
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.619,0.619,0.667,0.571,0.714,0.638,25
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.524,0.619,0.667,0.571,0.762,0.629,41
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.619,0.619,0.714,0.571,0.714,0.648,9
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.619,0.619,0.714,0.571,0.714,0.648,9
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.619,0.619,0.714,0.619,0.714,0.657,1
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.619,0.524,0.667,0.619,0.619,0.61,51
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.571,0.571,0.619,0.571,0.619,0.59,65
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.619,0.619,0.667,0.524,0.619,0.61,51
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.619,0.619,0.667,0.571,0.667,0.629,33
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.619,0.619,0.667,0.571,0.714,0.638,25
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.524,0.619,0.667,0.571,0.762,0.629,41
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.619,0.619,0.714,0.571,0.714,0.648,9
