params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.571,0.571,0.524,0.524,0.524,0.543,18
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.524,0.571,0.619,0.619,0.524,0.571,16
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.571,0.571,0.524,0.524,0.524,0.543,18
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.524,0.571,0.619,0.619,0.524,0.571,16
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.571,0.571,0.524,0.524,0.524,0.543,18
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.524,0.81,0.619,0.667,0.667,0.657,4
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.524,0.571,0.619,0.571,0.619,0.581,15
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.524,0.81,0.619,0.667,0.667,0.657,4
"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.524,0.762,0.619,0.667,0.667,0.648,6
"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.524,0.762,0.619,0.667,0.667,0.648,6
"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.619,0.714,0.667,0.619,0.714,0.667,2
"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.524,0.762,0.619,0.667,0.667,0.648,6
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.524,0.762,0.667,0.714,0.667,0.667,3
"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.524,0.762,0.619,0.667,0.667,0.648,6
"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.619,0.571,0.762,0.571,0.667,0.638,13
"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.524,0.762,0.619,0.667,0.667,0.648,6
"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.667,0.81,0.667,0.667,0.714,0.705,1
"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.524,0.762,0.619,0.667,0.667,0.648,6
"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.714,0.524,0.571,0.619,0.619,0.61,14
"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.524,0.762,0.619,0.667,0.667,0.648,6
