model,seed,best_params,test_accuracy,test_precision,test_recall,test_f1,test_auc_roc
SVM,42,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.519,0.5,0.5,0.494,0.683
RandomForest,42,"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.63,0.628,0.608,0.603,0.664
GradientBoosting,42,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0.593,0.583,0.575,0.571,0.681
KNN,42,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",0.593,0.591,0.592,0.59,0.594
SVM,123,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.519,0.5,0.5,0.494,0.683
RandomForest,123,"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.556,0.544,0.542,0.54,0.633
GradientBoosting,123,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0.593,0.583,0.575,0.571,0.681
KNN,123,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",0.593,0.591,0.592,0.59,0.594
SVM,2023,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.519,0.5,0.5,0.494,0.683
RandomForest,2023,"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.63,0.628,0.608,0.603,0.656
GradientBoosting,2023,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0.593,0.583,0.575,0.571,0.681
KNN,2023,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",0.593,0.591,0.592,0.59,0.594
SVM,31415,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.519,0.5,0.5,0.494,0.683
RandomForest,31415,"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.63,0.628,0.608,0.603,0.664
GradientBoosting,31415,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0.593,0.583,0.575,0.571,0.681
KNN,31415,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",0.593,0.591,0.592,0.59,0.594
SVM,98765,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.519,0.5,0.5,0.494,0.683
RandomForest,98765,"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.593,0.583,0.575,0.571,0.667
GradientBoosting,98765,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0.593,0.583,0.575,0.571,0.681
KNN,98765,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",0.593,0.591,0.592,0.59,0.594
