params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.547,0.09,8
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.547,0.09,8
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.535,0.071,15
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.535,0.071,15
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.559,0.053,5
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.547,0.051,8
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.559,0.037,5
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.559,0.053,5
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.57,0.088,3
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.57,0.088,3
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.546,0.095,12
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.546,0.115,12
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.546,0.07,11
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.571,0.073,1
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.546,0.102,12
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.571,0.073,1
