outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,RandomForest,voxel,0.42857142857142855,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.4675925925925926,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
1,GradientBoosting,voxel,0.47619047619047616,0.4727272727272727,0.4722222222222222,0.47139588100686497,0.4398148148148148,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}"
1,KNN,voxel,0.6190476190476191,0.6125,0.5833333333333334,0.5714285714285714,0.4722222222222222,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
2,RandomForest,voxel,0.42857142857142855,0.39285714285714285,0.4027777777777778,0.3942307692307692,0.4907407407407407,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
2,GradientBoosting,voxel,0.38095238095238093,0.31666666666666665,0.3472222222222222,0.3259259259259259,0.38888888888888895,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}"
2,KNN,voxel,0.6190476190476191,0.6071428571428572,0.5972222222222222,0.5961538461538461,0.5740740740740741,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}"
3,RandomForest,voxel,0.5714285714285714,0.5833333333333333,0.5833333333333333,0.5714285714285714,0.5833333333333334,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
3,GradientBoosting,voxel,0.47619047619047616,0.51875,0.5138888888888888,0.4564705882352942,0.49537037037037035,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}"
3,KNN,voxel,0.5714285714285714,0.5576923076923077,0.5555555555555556,0.5552941176470588,0.5509259259259258,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}"
4,RandomForest,voxel,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.6712962962962964,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
4,GradientBoosting,voxel,0.6666666666666666,0.8157894736842105,0.6111111111111112,0.5689149560117301,0.7083333333333333,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
4,KNN,voxel,0.6666666666666666,0.6985294117647058,0.625,0.6100795755968169,0.6527777777777778,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
5,RandomForest,voxel,0.7,0.6875,0.6875,0.6875,0.8125,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
5,GradientBoosting,voxel,0.7,0.6875,0.6875,0.6875,0.7395833333333334,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}"
5,KNN,voxel,0.65,0.6333333333333333,0.6041666666666667,0.6011396011396011,0.7083333333333334,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}"
