params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.588,0.471,0.706,0.5,0.625,0.578,45
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.529,0.471,0.706,0.562,0.562,0.566,53
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.647,0.471,0.765,0.562,0.562,0.601,29
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.471,0.706,0.688,0.625,0.627,6
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.647,0.471,0.765,0.5,0.562,0.589,41
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.471,0.706,0.562,0.625,0.614,18
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.588,0.529,0.706,0.438,0.562,0.565,54
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.647,0.471,0.706,0.562,0.625,0.602,25
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.647,0.529,0.765,0.438,0.625,0.601,34
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.471,0.706,0.625,0.625,0.615,14
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.588,0.529,0.706,0.5,0.625,0.59,38
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.471,0.706,0.625,0.688,0.639,3
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.647,0.471,0.647,0.562,0.625,0.59,36
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.647,0.471,0.706,0.562,0.688,0.615,14
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.647,0.471,0.647,0.562,0.562,0.578,45
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.471,0.706,0.562,0.688,0.615,14
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.647,0.471,0.647,0.562,0.562,0.578,45
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.471,0.765,0.562,0.688,0.638,5
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.647,0.471,0.765,0.5,0.625,0.601,29
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.706,0.471,0.706,0.625,0.562,0.614,18
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.647,0.412,0.824,0.5,0.625,0.601,29
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.706,0.471,0.765,0.562,0.5,0.601,34
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.765,0.412,0.765,0.5,0.625,0.613,24
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.471,0.706,0.5,0.562,0.589,41
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.588,0.471,0.765,0.5,0.562,0.577,48
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.647,0.471,0.706,0.625,0.625,0.615,14
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.647,0.412,0.765,0.5,0.562,0.577,48
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.471,0.706,0.562,0.625,0.602,25
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.647,0.412,0.765,0.5,0.562,0.577,48
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.471,0.647,0.562,0.562,0.59,38
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.647,0.471,0.647,0.562,0.625,0.59,36
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.647,0.471,0.765,0.625,0.688,0.639,3
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.588,0.471,0.588,0.562,0.625,0.567,51
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.706,0.588,0.706,0.562,0.688,0.65,2
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.588,0.471,0.588,0.562,0.625,0.567,51
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.529,0.706,0.625,0.688,0.651,1
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.647,0.412,0.824,0.5,0.625,0.601,29
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.706,0.529,0.765,0.625,0.5,0.625,12
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.706,0.412,0.765,0.5,0.625,0.601,29
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.706,0.471,0.765,0.562,0.562,0.613,22
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.706,0.471,0.765,0.562,0.562,0.613,22
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.529,0.765,0.562,0.562,0.625,12
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.588,0.471,0.647,0.562,0.625,0.579,43
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.706,0.471,0.706,0.562,0.688,0.626,7
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.588,0.471,0.647,0.562,0.625,0.579,43
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.706,0.471,0.706,0.562,0.688,0.626,7
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.588,0.529,0.765,0.562,0.625,0.614,18
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.471,0.706,0.562,0.688,0.626,7
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.647,0.588,0.588,0.562,0.625,0.602,25
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.706,0.471,0.647,0.562,0.625,0.602,25
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.706,0.529,0.647,0.562,0.625,0.614,18
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.706,0.471,0.647,0.562,0.562,0.59,38
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.706,0.588,0.647,0.562,0.625,0.626,10
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.529,0.706,0.562,0.625,0.626,10
