params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.706,0.588,0.765,0.562,0.562,0.637,6
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.765,0.588,0.765,0.688,0.562,0.674,2
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.647,0.353,0.824,0.562,0.625,0.602,12
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.765,0.471,0.824,0.688,0.562,0.662,3
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.471,0.529,0.647,0.625,0.625,0.579,14
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.765,0.412,0.706,0.688,0.562,0.626,7
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.588,0.471,0.588,0.688,0.5,0.567,16
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.647,0.412,0.706,0.75,0.562,0.615,10
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.588,0.588,0.765,0.688,0.5,0.626,9
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.706,0.647,0.824,0.75,0.562,0.698,1
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.706,0.353,0.765,0.562,0.5,0.577,15
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.706,0.471,0.824,0.625,0.562,0.638,4
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.588,0.588,0.706,0.562,0.688,0.626,7
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.706,0.529,0.765,0.562,0.625,0.638,4
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.588,0.471,0.706,0.688,0.625,0.615,10
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.647,0.412,0.765,0.688,0.5,0.602,12
