params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578,3
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,3
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578,3
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,3
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578,3
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,3
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578,3
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,3
"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578,3
"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.412,0.588,0.588,0.562,0.562,0.543,17
"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.529,0.471,0.588,0.562,0.562,0.543,17
"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.412,0.588,0.588,0.562,0.562,0.543,17
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.471,0.471,0.588,0.625,0.562,0.543,16
"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.412,0.647,0.588,0.562,0.562,0.554,12
"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.647,0.471,0.706,0.688,0.625,0.627,2
"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.412,0.647,0.588,0.562,0.562,0.554,12
"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.471,0.471,0.647,0.625,0.5,0.543,17
"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.412,0.647,0.588,0.562,0.562,0.554,12
"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.824,0.471,0.765,0.75,0.625,0.687,1
"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.412,0.647,0.588,0.562,0.562,0.554,12
