groups,model,n_perms,true_score,p_value,perm_scores_mean,perm_scores_std
ADvsCBS,GradientBoosting,1000.0,0.621,0.06,0.54,0.055
ADvsCBS,KNN,1000.0,0.621,0.069,0.539,0.056
ADvsCBS,RandomForest,1000.0,0.621,0.064,0.538,0.055
,,,,,,
ADvsPSP,GradientBoosting,1000.0,0.553,0.147,0.506,0.043
ADvsPSP,KNN,1000.0,0.553,0.15,0.506,0.042
ADvsPSP,RandomForest,1000.0,0.561,0.096,0.506,0.043
,,,,,,
PSPvsCBS,GradientBoosting,1000.0,0.492,0.624,0.512,0.053
PSPvsCBS,KNN,1000.0,0.482,0.684,0.511,0.053
PSPvsCBS,RandomForest,1000.0,0.492,0.611,0.51,0.053
