comparison,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std
ad_cbs,GradientBoosting,0.576,0.164,0.603,0.183,0.556,0.128,0.531,0.143,0.543,0.142
ad_cbs,KNN,0.577,0.062,0.562,0.085,0.548,0.066,0.534,0.056,0.553,0.08
ad_cbs,RandomForest,0.516,0.09,0.52,0.095,0.514,0.068,0.478,0.072,0.553,0.088
,,,,,,,,,,,
ad_psp,GradientBoosting,0.598,0.108,0.612,0.119,0.597,0.107,0.588,0.105,0.541,0.176
ad_psp,KNN,0.652,0.066,0.654,0.066,0.651,0.064,0.648,0.065,0.685,0.037
ad_psp,RandomForest,0.591,0.139,0.606,0.148,0.586,0.132,0.579,0.132,0.629,0.146
,,,,,,,,,,,
cbs_psp,GradientBoosting,0.54,0.137,0.562,0.194,0.526,0.131,0.502,0.135,0.554,0.16
cbs_psp,KNN,0.625,0.036,0.622,0.051,0.593,0.026,0.587,0.023,0.592,0.092
cbs_psp,RandomForest,0.569,0.139,0.558,0.148,0.56,0.145,0.556,0.147,0.605,0.141
