
=== Group by Group - ADNI ===
Dataframe shape after merge: (72, 161829)
Meta columns: 12
Feature matrix shape: (72, 161817) 

Running UMAP...

OLS REGRESSION SUMMARY
                            OLS Regression Results                            
==============================================================================
Dep. Variable:                   MMSE   R-squared:                       0.171
Model:                            OLS   Adj. R-squared:                  0.108
Method:                 Least Squares   F-statistic:                     2.717
Date:                Thu, 12 Jun 2025   Prob (F-statistic):             0.0271
Time:                        16:23:53   Log-Likelihood:                -200.75
No. Observations:                  72   AIC:                             413.5
Df Residuals:                      66   BIC:                             427.2
Df Model:                           5                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const         11.8853     10.480      1.134      0.261      -9.038      32.809
UMAP1          0.6099      0.320      1.906      0.061      -0.029       1.249
UMAP2         -0.3510      0.361     -0.973      0.334      -1.071       0.369
Age           -0.0912      0.057     -1.589      0.117      -0.206       0.023
Education      0.1488      0.222      0.671      0.505      -0.294       0.592
Sex_M          0.4425      1.024      0.432      0.667      -1.602       2.487
==============================================================================
Omnibus:                       15.015   Durbin-Watson:                   2.136
Prob(Omnibus):                  0.001   Jarque-Bera (JB):               16.760
Skew:                          -1.063   Prob(JB):                     0.000229
Kurtosis:                       4.032   Cond. No.                     1.75e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.75e+03. This might indicate that there are
strong multicollinearity or other numerical problems.


--------------------------------------------------------------------------------
SHUFFLING REGRESSION
--------------------------------------------------------------------------------
R² real:      0.1707
R² shuffled:  0.0715
Empirical p:  0.0200


--------------------------------------------------------------------------------
RMSE BY DIAGNOSTIC GROUP AND OVERALL METRICS
--------------------------------------------------------------------------------
       Mean_RMSE  Std_RMSE   N
Group                         
ADNI        3.05       2.5  72


MAE:  3.0465
RMSE: 3.9325


--------------------------------------------------------------------------------
SUBJECTS RANKED BY RMSE (BEST TO WORST)
--------------------------------------------------------------------------------
        ID Group  CDR_SB  Predicted CDR_SB      RMSE
067_S_6529  ADNI     2.5         23.989672  0.010328
123_S_6825  ADNI     1.0         23.804193  0.195807
305_S_6810  ADNI     4.5         21.771597  0.228403
130_S_6072  ADNI     4.5         23.756498  0.243502
126_S_4891  ADNI     2.0         25.684622  0.315378
011_S_4893  ADNI     7.0         22.649570  0.350430
018_S_2155  ADNI     2.0         21.431658  0.568342
011_S_6303  ADNI     5.0         23.627508  0.627508
032_S_6602  ADNI     5.0         22.313964  0.686036
019_S_6668  ADNI     3.0         25.276697  0.723303
027_S_5277  ADNI     2.5         24.260595  0.739405
053_S_6598  ADNI     2.0         24.247597  0.752403
137_S_4862  ADNI     1.0         25.104929  0.895071
098_S_6655  ADNI     6.5         21.974053  0.974053
035_S_4114  ADNI     1.5         25.979283  1.020717
127_S_6433  ADNI     4.0         22.926414  1.073586
130_S_4294  ADNI     5.5         21.926167  1.073833
036_S_4538  ADNI     4.0         24.092914  1.092914
021_S_6312  ADNI     0.0         24.844699  1.155301
027_S_6965  ADNI     4.5         22.707146  1.292854
002_S_6695  ADNI     4.5         26.348687  1.348687
168_S_6467  ADNI     1.0         25.458361  1.541639
114_S_6039  ADNI     2.0         22.595983  1.595983
003_S_6479  ADNI     1.5         27.312692  1.687308
027_S_6788  ADNI     2.5         26.293324  1.706676
002_S_4654  ADNI     1.5         25.157824  1.842176
126_S_4507  ADNI     8.0         20.153663  1.846337
126_S_6683  ADNI     4.5         22.151371  1.848629
006_S_6252  ADNI     1.0         24.983199  2.016801
168_S_6426  ADNI     0.5         24.936794  2.063206
022_S_6796  ADNI     4.0         22.136463  2.136463
168_S_6142  ADNI     4.5         22.366954  2.366954
003_S_6606  ADNI     3.0         23.573158  2.426842
021_S_5237  ADNI     2.0         22.538583  2.461417
019_S_6483  ADNI     2.0         25.488829  2.511171
131_S_7032  ADNI     2.0         23.355671  2.644329
130_S_2373  ADNI     5.5         21.331770  2.668230
016_S_6708  ADNI     2.5         24.231678  2.768322
003_S_6264  ADNI     2.5         25.862818  2.862818
