VOXEL
,,CDR,,,MMSE,,
,,R squared,Adjusted R squared,P - Value,R squared,Adjusted R squared,P - Value
Covariates,AD,0.348,0.299,2.47e-05,0.244,0.186,0.00207
,CBS,0.272,0.171,0.0361,0.147,0.026,0.325
,PSP,0.104,0.017,0.327,0.156,0.070,0.128
No Covariates,AD,0.288,0.268,7.98e-06,0.206,0.183,0.000354
,CBS,0.157,0.113,0.0360,0.100,0.053,0.135
,PSP,0.096,0.063,0.0649,0.007,-0.031,0.831


NETWORK
,,CDR,,,MMSE,,
,,R squared,Adjusted R squared,P - Value,R squared,Adjusted R squared,P - Value
Covariates,AD,0.438,0.335,0.000115,0.355,0.237,0.00303
,CBS,0.461,0.264,0.0321,0.549,0.378,0.00582
,PSP,0.226,0.036,0.319,0.227,0.029,0.351
No Covariates,AD,0.406,0.331,3.57e-05,0.336,0.251,0.000730
,CBS,0.336,0.175,0.0662,0.480,0.350,0.00375
,PSP,0.211,0.079,0.149,0.151,0.004,0.432


